category,created_at,domain,tool_name,value
subdomain,2026-05-25T12:51:36Z,peizheng.edu.cn,dnsx,157.122.75.24
subdomain,2026-05-25T12:51:36Z,peizheng.edu.cn,dnsx,211.66.248.1
subdomain,2026-05-25T12:51:36Z,peizheng.edu.cn,dnsx,211.66.248.2
subdomain,2026-05-25T12:51:36Z,peizheng.edu.cn,dnsx,211.66.248.200
subdomain,2026-05-25T12:51:36Z,peizheng.edu.cn,dnsx,211.66.248.5
subdomain,2026-05-25T12:51:36Z,peizheng.edu.cn,dnsx,218.107.0.22
subdomain,2026-05-25T12:51:36Z,peizheng.edu.cn,dnsx,218.107.0.57
subdomain,2026-05-25T12:51:36Z,peizheng.edu.cn,dnsx,218.107.0.58
subdomain,2026-05-25T12:51:36Z,peizheng.edu.cn,dnsx,219.135.198.35
subdomain,2026-05-25T12:51:36Z,peizheng.edu.cn,dnsx,219.135.198.37
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,252fwebvpn1.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,2fwebvpn1.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,2fzb.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,accsy.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,art.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,bdyzxy.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,bwc.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,caigou.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,cas0.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,cxcy.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,dns1.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,dns2.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,dw.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,ecard.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,english.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,hoe.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,i.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,idp.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,information.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,international.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,jijian.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,jixujiaoyu.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,jjx.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,job.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,jsfz.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,ky.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,kyc.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,law.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,mks.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,mx.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,org.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pg.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzacc.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzcjrh.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzcw.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzglxy.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzit.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzjwc.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzlib.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzrensc.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzrs.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzrszp.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pztuanwei.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pztyb.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzwyx.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzxq30.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzxyh.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzyuanban.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,pzyx.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,qzjw.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,rwx.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,vpn.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,webvpn2.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,www.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,xxb.peizheng.edu.cn
subdomain,2026-05-25T09:01:14Z,peizheng.edu.cn,subfinder,zb.peizheng.edu.cn
